Boston - O W Holmes,Ê00030138,1.4,100
Boston - O'Bryant Sch Math/Science,Ê00030575,3.9,100
Boston - Odyssey High School,Ê00030577,2.8,100
Boston - Oliver Hazard Perry,Ê00030255,2.5,100
Boston - Orchard Gardens,Ê00030257,1.9,100
Boston - Parkway Academy of Technology and Health,Ê00030574,0.8,100
Boston - Patrick F Gavin Middle,Ê00030435,3.9,100
Boston - Patrick J Kennedy,Ê00030264,2.5,100
Boston - Paul A Dever,Ê00030268,4,100
Boston - Phineas Bates,Ê00030278,2.7,100
Boston - Quincy Upper School,Ê00030565,2.4,100
Boston - Rafael Hernandez,Ê00030691,2.7,100
Boston - Ralph Waldo Emerson,Ê00030288,5.4,100
Boston - Richard J Murphy,Ê00030240,3.4,100
Boston - Roger Clap,Ê00030298,3.1,100
Boston - Samuel Adams,Ê00030302,4.6,100
Boston - Samuel W Mason,Ê00030304,1.8,100
Boston - Sarah Greenwood,Ê00030308,2.6,100
Boston - Snowden Int'l High,Ê00030690,3,100
Boston - Social Justice Academy,Ê00030583,3.9,100
Boston - TechBoston Lower Academy,Ê00030653,1.7,100
Boston - TechBoston Upper Academy,Ê00030654,1.1,100
Boston - The Engineering School,Ê00030582,4.3,100
Boston - The English High,Ê00030535,3.4,100
Boston - Thomas J Kenny,Ê00030328,3.2,100
Boston - Urban Science Academy,Ê00030579,1.2,100
Boston - Warren-Prescott,Ê00030346,4.1,100
Boston - Washington Irving Middle,Ê00030445,2.7,100
Boston - William E Russell,Ê00030366,3.1,100
Boston - William Ellery Channing,Ê00030360,5.1,100
Boston - William H Ohrenberger,Ê00030258,3.7,100
Boston - William McKinley,Ê00030363,2.1,100
Boston - William Monroe Trotter,Ê00030370,3.8,100
Boston - Winship Elementary,Ê00030374,2.4,100
Boston - Wm B Rogers Middle,Ê00030470,3.1,100
Boston - Young Achievers,Ê00030380,3,100
Boston Collegiate Charter (District) - Boston Collegiate Charter School,Ê00440305,-,-
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,Ê00420505,-,-
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,Ê00410305,-,-
Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,Ê00480550,-,-
Bourne - Bourne High School,Ê00030505,-,-
Bourne - Bourne Middle School,Ê00030325,-,-
Bourne - Bournedale Elementary School,Ê00030005,-,-
Bourne - Peebles Elementary School,Ê00030010,-,-
Boxborough - Blanchard Memorial,Ê00030005,1.8,100
Boxford - Harry Lee Cole,Ê00030005,2.5,100
Boxford - Spofford Pond,Ê00030013,2.3,100
Boylston - Boylston Elementary,Ê00030005,6,100
Braintree - Archie T Morrison,Ê00040033,4.2,100
Braintree - Braintree High,Ê00040505,3.9,100
Braintree - Donald Ross,Ê00040050,4.3,100
Braintree - East Middle School,Ê00040305,4.9,100
Braintree - Highlands,Ê00040015,8.8,100
Braintree - Hollis,Ê00040005,8.3,100
Braintree - Liberty,Ê00040025,8.8,100
Braintree - Mary E Flaherty School,Ê00040020,6.9,100
Braintree - South Middle School,Ê00040310,4.9,100
Brewster - Eddy Elementary,Ê00040010,3.4,100
Brewster - Stony Brook Elementary,Ê00040005,3.5,100
Bridgewater-Raynham - Bridgewater Middle School,Ê00620320,2.6,100
Bridgewater-Raynham - Bridgewater-Raynham Reg,Ê00620505,3.3,100
Bridgewater-Raynham - Laliberte Elementary School,Ê00620050,4.1,100
Bridgewater-Raynham - Merrill Elementary School,Ê00620020,2.9,100
Bridgewater-Raynham - Mitchell Elementary School,Ê00620002,3.9,100
Bridgewater-Raynham - Raynham Middle School,Ê00620315,2.8,100
Bridgewater-Raynham - Williams Intermediate School,Ê00620300,5.4,100
Brimfield - Brimfield Elementary,Ê00040005,3,100
Bristol County Agricultural - Bristol County Agr High,Ê00910705,1.4,100
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Voc Tech,Ê00810605,1.3,100
Brockton - Ashfield Middle School,Ê00040421,3.5,100
Brockton - B B Russell Alternative School,Ê00040080,1.6,100
Brockton - Brockton Champion High School,Ê00040515,2.3,100
Brockton - Brockton High,Ê00040505,2.9,100
Brockton - Brookfield,Ê00040010,2.6,100
Brockton - Downey,Ê00040110,2.2,100
Brockton - Dr W Arnone Comm Sch,Ê00040001,3.8,100
Brockton - East Middle School,Ê00040405,2.7,100
Brockton - Edgar B Davis,Ê00040023,3.7,100
Brockton - Gilmore School Early Childhood Center,Ê00040050,7.5,100
Brockton - Goddard Alternative School,Ê00040400,0.6,100
Brockton - Hancock,Ê00040045,3.4,100
Brockton - Huntington,Ê00040055,2.7,100
Brockton - John F Kennedy,Ê00040017,3.3,100
Brockton - Joseph F. Plouffe Academy,Ê00040422,2.1,100
Brockton - Louis F Angelo Elem,Ê00040065,3.3,100
