orgCode,school,stuPerCPU,classOnInternet
30382,Boston - Mission Hill School,2.8,100
,,,
30538,Boston - Monument High School,1.9,100
,,,
30237,Boston - Mozart,3.2,100
,,,
30243,Boston - Nathan Hale,1.8,100
,,,
30542,Boston - New Mission High School,2.6,100
,,,
30138,Boston - O W Holmes,1.4,100
,,,
30575,Boston - O'Bryant Sch Math/Science,3.9,100
,,,
30577,Boston - Odyssey High School,2.8,100
,,,
30255,Boston - Oliver Hazard Perry,2.5,100
,,,
30257,Boston - Orchard Gardens,1.9,100
,,,
30574,Boston - Parkway Academy of Technology and Health,0.8,100
,,,
30435,Boston - Patrick F Gavin Middle,3.9,100
,,,
30264,Boston - Patrick J Kennedy,2.5,100
,,,
30268,Boston - Paul A Dever,4,100
,,,
30278,Boston - Phineas Bates,2.7,100
,,,
30565,Boston - Quincy Upper School,2.4,100
,,,
30691,Boston - Rafael Hernandez,2.7,100
,,,
30288,Boston - Ralph Waldo Emerson,5.4,100
,,,
30240,Boston - Richard J Murphy,3.4,100
,,,
30298,Boston - Roger Clap,3.1,100
,,,
30302,Boston - Samuel Adams,4.6,100
,,,
30304,Boston - Samuel W Mason,1.8,100
,,,
30308,Boston - Sarah Greenwood,2.6,100
,,,
30690,Boston - Snowden Int'l High,3,100
,,,
30583,Boston - Social Justice Academy,3.9,100
,,,
30653,Boston - TechBoston Lower Academy,1.7,100
,,,
30654,Boston - TechBoston Upper Academy,1.1,100
,,,
30582,Boston - The Engineering School,4.3,100
,,,
30535,Boston - The English High,3.4,100
,,,
30328,Boston - Thomas J Kenny,3.2,100
,,,
30579,Boston - Urban Science Academy,1.2,100
,,,
30346,Boston - Warren-Prescott,4.1,100
,,,
30445,Boston - Washington Irving Middle,2.7,100
,,,
30366,Boston - William E Russell,3.1,100
,,,
30360,Boston - William Ellery Channing,5.1,100
,,,
30258,Boston - William H Ohrenberger,3.7,100
,,,
30363,Boston - William McKinley,2.1,100
,,,
30370,Boston - William Monroe Trotter,3.8,100
,,,
30374,Boston - Winship Elementary,2.4,100
,,,
30470,Boston - Wm B Rogers Middle,3.1,100
,,,
30380,Boston - Young Achievers,3,100
,,,
440306,Boston Collegiate Charter (District) - Boston Collegiate Charter School,-,-
,,,
420505,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,-,-
,,,
410305,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,-,-
,,,
480550,Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,-,-
,,,
30505,Bourne - Bourne High School,-,-
,,,
30325,Bourne - Bourne Middle School,-,-
,,,
30005,Bourne - Bournedale Elementary School,-,-
,,,
30010,Bourne - Peebles Elementary School,-,-
,,,
30005,Boxborough - Blanchard Memorial,1.8,100
,,,
30005,Boxford - Harry Lee Cole,2.5,100
,,,
30013,Boxford - Spofford Pond,2.3,100
,,,
30005,Boylston - Boylston Elementary,6,100
,,,
40033,Braintree - Archie T Morrison,4.2,100
,,,
40505,Braintree - Braintree High,3.9,100
,,,
40050,Braintree - Donald Ross,4.3,100
,,,
40305,Braintree - East Middle School,4.9,100
,,,
40015,Braintree - Highlands,8.8,100
,,,
40005,Braintree - Hollis,8.3,100
,,,
40025,Braintree - Liberty,8.8,100
,,,
40020,Braintree - Mary E Flaherty School,6.9,100
,,,
40310,Braintree - South Middle School,4.9,100
,,,
40010,Brewster - Eddy Elementary,3.4,100
,,,
40005,Brewster - Stony Brook Elementary,3.5,100
,,,
620320,Bridgewater-Raynham - Bridgewater Middle School,2.6,100
,,,
620505,Bridgewater-Raynham - Bridgewater-Raynham Reg,3.3,100
,,,
620050,Bridgewater-Raynham - Laliberte Elementary School,4.1,100
,,,
620020,Bridgewater-Raynham - Merrill Elementary School,2.9,100
,,,
620002,Bridgewater-Raynham - Mitchell Elementary School,3.9,100
,,,
620315,Bridgewater-Raynham - Raynham Middle School,2.8,100
,,,
620300,Bridgewater-Raynham - Williams Intermediate School,5.4,100
,,,
40005,Brimfield - Brimfield Elementary,3,100
,,,
910705,Bristol County Agricultural - Bristol County Agr High,1.4,100
,,,
810605,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Voc Tech,1.3,100
,,,
40421,Brockton - Ashfield Middle School,3.5,100
,,,
40080,Brockton - B B Russell Alternative School,1.6,100
,,,
40515,Brockton - Brockton Champion High School,2.3,100
,,,
40505,Brockton - Brockton High,2.9,100
,,,
40010,Brockton - Brookfield,2.6,100
,,,
40110,Brockton - Downey,2.2,100
,,,
40001,Brockton - Dr W Arnone Comm Sch,3.8,100
,,,
40405,Brockton - East Middle School,2.7,100
,,,
40023,Brockton - Edgar B Davis,3.7,100
,,,
40050,Brockton - Gilmore School Early Childhood Center,7.5,100
,,,
40400,Brockton - Goddard Alternative School,0.6,100
,,,
40045,Brockton - Hancock,3.4,100
,,,
40055,Brockton - Huntington,2.7,100
,,,
40017,Brockton - John F Kennedy,3.3,100
,,,
40422,Brockton - Joseph F. Plouffe Academy,2.1,100
,,,
40065,Brockton - Louis F Angelo Elem,3.3,100
,,,
40003,Brockton - Manthala George Jr School,1.8,100
,,,
40002,Brockton - Mary E. Baker School,1.7,100
,,,
40410,Brockton - North Middle School,2.7,100
,,,
40078,Brockton - Oscar F Raymond,3.2,100
,,,
40415,Brockton - South Middle School,1.8,100
,,,
40420,Brockton - West Middle School,3.8,100
,,,
40005,Brookfield - Brookfield Elementary,3.4,100
,,,
40505,Brookline - Brookline High,2.8,100
,,,
40005,Brookline - Edith C Baker,4.7,100
,,,
40015,Brookline - Edward Devotion,4.3,100
,,,
40025,Brookline - Heath,2.4,100
,,,
40045,Brookline - John D Runkle,3.8,100
,,,
