Org Name,OrgCode,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded
Pioneer Valley - Pioneer Valley Reg,7500505,69,82.6,7.2,0,1.4,8.7,0
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,4790505,70,80,7.1,2.9,5.7,2.9,1.4
Pittsfield - Pittsfield High,2360505,264,79.5,7.2,1.5,4.2,7.6,0
Pittsfield - Taconic High,2360510,263,69.2,6.8,0,7.2,16.7,0
Plymouth - Plymouth North High,2390505,295,87.1,2.7,0.3,3.1,6.8,0
Plymouth - Plymouth South High,2390515,348,90.5,0.9,0,2,6.6,0
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,4870550,60,81.7,5,1.7,0,11.7,0
Provincetown - Provincetown Schools,2420020,15,93.3,0,0,0,6.7,0
Quabbin - Quabbin Regional High School,7530505,247,89.1,3.2,0,2.8,4.9,0
Quaboag Regional - Quaboag Regional High,7780505,105,81.9,2.9,0,2.9,12.4,0
Quincy - North Quincy High,2430510,387,92.8,1.8,0.3,1,3.6,0.5
Quincy - Quincy High,2430505,366,80.9,6,0.5,1.6,10.9,0
Ralph C Mahar - Ralph C Mahar Reg,7550505,135,68.9,6.7,0,10.4,13.3,0.7
Randolph - Randolph High,2440505,215,69.8,14,3.7,3.3,9.3,0
Reading - Reading Memorial High,2460505,290,97.2,1,0,0,1.7,0
Revere - Revere High,2480505,348,80.7,10.6,0.6,1.4,6,0.6
Revere - Seacoast School,2480520,56,14.3,23.2,0,12.5,50,0
Rockland - Rockland Senior High,2510505,160,83.8,3.8,0.6,1.3,10.6,0
Rockport - Rockport High,2520510,78,91,2.6,0,3.8,2.6,0
Sabis International Charter (District) - Sabis International Charter School,4410505,141,90.8,5.7,0,2.8,0.7,0
Salem - Salem High,2580505,323,81.7,7.1,4,1.5,5.6,0
Salem Academy Charter (District) - Salem Academy Charter School,4850485,31,87.1,6.5,3.2,0,3.2,0
Sandwich - Sandwich High,2610505,232,94.4,1.7,0.4,1.3,2.2,0
Saugus - Saugus High,2620505,217,81.6,4.6,0.5,5.1,8.3,0
Scituate - Scituate High School,2640505,190,91.1,6.3,0,0.5,2.1,0
Seekonk - Seekonk High,2650505,151,94.7,1.3,0,0.7,3.3,0
Sharon - Sharon High,2660505,277,97.8,1.8,0,0,0.4,0
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Voc Tech High School,8710605,328,97.6,0.6,0,0.9,0.9,0
Shrewsbury - Shrewsbury Sr High,2710505,427,92.5,1.9,1.2,2.3,2.1,0
Silver Lake - Silver Lake Reg High,7600505,288,96.9,0.7,0.3,0.3,1.7,0
Somerset - Somerset High,2730505,226,96.9,0,0.9,0.4,1.8,0
Somerville - Full Circle High School,2740510,9,22.2,33.3,0,33.3,11.1,0
Somerville - Somerville High,2740505,357,81,6.2,1.1,1.1,10.6,0
South Hadley - South Hadley High,2780505,170,87.1,4.7,0,1.8,6.5,0
South Middlesex Regional Vocational Technical - Joseph P Keefe Tech HS,8290605,159,84.3,8.8,0,1.9,5,0
South Shore Charter Public (District) - South Shore Charter Public School,4880550,32,87.5,12.5,0,0,0,0
South Shore Regional Vocational Technical - So Shore Voc Tech High,8730605,129,91.5,5.4,0,0,3.1,0
Southbridge - Southbridge High,2770505,111,72.1,3.6,2.7,3.6,18,0
Southeastern Regional Vocational Technical - Southeastern Reg Voc Tech,8720605,295,89.2,5.8,0.3,0,4.7,0
Southern Berkshire - Mt Everett Regional,7650505,64,78.1,6.3,0,6.3,9.4,0
Southern Worcester County Regional Vocational Technical - Bay Path Reg Voc Tech H S,8760605,250,93.6,2.8,0,0.8,2.8,0
Southwick-Tolland - Southwick-Tolland Regional High,7660505,133,90.2,1.5,0.8,1.5,6,0
Spencer-E Brookfield - David Prouty High,7670505,109,86.2,8.3,0,1.8,3.7,0
Springfield - High School Of Commerce,2810510,319,30.1,17.9,11.6,3.4,37,0
Springfield - High School/Science-Tech,2810530,375,36.3,18.7,6.1,2.9,36,0
Springfield - Putnam Voc Tech High Sch,2810620,387,60.5,10.3,8.5,1.8,18.9,0
Springfield - Springfield Academy for Excellence,2810506,135,34.8,0,6.7,4.4,54.1,0
Springfield - Springfield Central High,2810500,435,79.1,2.8,4.1,1.4,12.4,0.2
Springfield - The Springfield Renaissance School,2810205,85,80,7.1,4.7,1.2,7.1,0
Stoneham - Stoneham High,2840505,183,89.6,3.3,0.5,2.7,3.8,0
